word,yomi,alphabet
黄色,きいろ,
緑,みどり,
青,あお,
白,しろ,
黒,くろ,
絵,え,
音楽,おんがく,
歴史,れきし,
地理,ちり,
スポーツ,すぽーつ,
情報,じょうほう,
必要,ひつよう,
勉強,べんきょう,
自動,じどう,
内容,ないよう,
結婚,けっこん,
神,かみ,
事,こと,
物,もの,
為,ため,
自分,じぶん,
方,ほう,
場合,ばあい,
訳,わけ,
問題,もんだい,
気,き,
関係,かんけい,
他,ほか,
点,てん,
筈,はず,
代,だい,
一般,いっぱん,
使用,しよう,
対象,たいしょう,
存在,そんざい,
何時,いつ,
研究,けんきゅう,
侭,まま,
図,ず,
利用,りよう,
本当,ほんとう,
方法,ほうほう,
別,べつ,
他,た,
部,ぶ,
結果,けっか,
調査,ちょうさ,
状況,じょうきょう,
地,ち,
計画,けいかく,
技術,ぎじゅつ,
状態,じょうたい,
部分,ぶぶん,
気持ち,きもち,
基本,きほん,
実施,じっし,
殆ど,ほとんど,
一緒,いっしょ,
形,かたち,
程度,ていど,
中心,ちゅうしん,
多く,おおく,
其其,それぞれ,
目的,もくてき,
姿,すがた,
実際,じっさい,
力,ちから,
風,ふう,
理由,りゆう,
全体,ぜんたい,
変化,へんか,
以外,いがい,
普通,ふつう,
分,ぶん,
効果,こうか,
機能,きのう,
影響,えいきょう,
理解,りかい,
対策,たいさく,
山,やま,
感,かん,
例,れい,
整備,せいび,
運動,うんどう,
障害,しょうがい,
自然,しぜん,
安全,あんぜん,
元,もと,
確認,かくにん,
式,しき,
面,めん,
事務,じむ,
音,おと,
行動,こうどう,
同,どう,
決定,けってい,
報告,ほうこく,
処理,しょり,
条件,じょうけん,
医療,いりょう,
経験,けいけん,
紹介,しょうかい,
一部,いちぶ,
注意,ちゅうい,
方,かた,
判断,はんだん,
構造,こうぞう,
川,かわ,
役,やく,
予定,よてい,
番,ばん,
作業,さぎょう,
検討,けんとう,
選択,せんたく,
原因,げんいん,
指定,してい,
駄目,だめ,
専門,せんもん,
表現,ひょうげん,
作成,さくせい,
台,だい,
心配,しんぱい,
連絡,れんらく,
科学,かがく,
光,ひかり,
夢,ゆめ,
事故,じこ,
積り,つもり,
海,うみ,
危険,きけん,
無理,むり,
運転,うんてん,
零,れい,
一,いち,
二,に,
三,さん,
四,し,
五,ご,
六,ろく,
七,しち,
八,はち,
九,きゅう,
十,じゅう,
百,ひゃく,
千,せん,
万,まん,
億,おく,
ひとつ,ひとつ,
ふたつ,ふたつ,
みっつ,みっつ,
よっつ,よっつ,
いつつ,いつつ,
むっつ,むっつ,
ななつ,ななつ,
やっつ,やっつ,
ここのつ,ここのつ,
とお,とお,
以上,いじょう,
以下,いか,
回,かい,
一人,ひとり,
二人,ふたり,
全て,すべて,
額,がく,
率,りつ,
量,りょう,
数,すう,
半,はん,
ここ,ここ,
そこ,そこ,
あそこ,あそこ,
どこ,どこ,
これ,これ,
それ,それ,
あれ,あれ,
どれ,どれ,
こちら,こちら,
そちら,そちら,
あちら,あちら,
どちら,どちら,
何,なに,
何れ,いずれ,
私,わたし,
僕,ぼく,
貴方,あなた,
君,きみ,
彼,かれ,
彼女,かのじょ,
彼等,かれら,
我我,われわれ,
御前,おまえ,
良い,よい,
悪い,わるい,
高い,たかい,
低い,ひくい,
安い,やすい,
大きい,おおきい,
小さい,ちいさい,
細い,ほそい,
太い,ふとい,
古い,ふるい,
新しい,あたらしい,
若い,わかい,
軽い,かるい,
重い,おもい,
易しい,やさしい,
難しい,むずかしい,
柔らかい,やわらかい,
硬い,かたい,
熱い,あつい,
冷たい,つめたい,
寒い,さむい,
薄い,うすい,
美味しい,おいしい,
美味い,うまい,
不味い,まずい,
甘い,あまい,
辛い,からい,
苦い,にがい,
忙しい,いそがしい,
正しい,ただしい,
汚い,きたない,
涼しい,すずしい,
珍しい,めずらしい,
美しい,うつくしい,
丸い,まるい,
無い,ない,
多い,おおい,
広い,ひろい,
弱い,よわい,
強い,つよい,
早い,はやい,
暗い,くらい,
長い,ながい,
浅い,あさい,
深い,ふかい,
狭い,せまい,
白い,しろい,
短い,みじかい,
細かい,こまかい,
赤い,あかい,
近い,ちかい,
遅い,おそい,
遠い,とおい,
青い,あおい,
黒い,くろい,
少ない,すくない,
凄い,すごい,
面白い,おもしろい,
嬉しい,うれしい,
悲しい,かなしい,
寂しい,さびしい,
怖い,こわい,
痛い,いたい,
厳しい,きびしい,
恥ずかしい,はずかしい,
楽しい,たのしい,
欲しい,ほしい,
奇麗、綺麗,きれい,
しずか,しずか,
じょうず,じょうず,
ていねい,ていねい,
へた,へた,
可能,かのう,
好き,すき,
重要,じゅうよう,
非常,ひじょう,
様様,さまざま,
特別,とくべつ,
確か,たしか,
簡単,かんたん,
大切,たいせつ,
十分,じゅうぶん,
明らか,あきらか,
嫌,いや,
同じ,おなじ,
大変,たいへん,
為る,する,
やる,やる,
やめる,やめる,
いる,いる,
ある,ある,
なる,なる,
起こる,おこる,
生きる,いきる,
死ぬ,しぬ,
壊れる,こわれる,
消える,きえる,
現れる,あらわれる,
住む,すむ,
居る,おる,
行く,いく,
来る,くる,
入る,はいる,
出る,でる,
進む,すすむ,
戻る,もどる,
歩く,あるく,
走る,はしる,
泳ぐ,およぐ,
送る,おくる,
過ぎる,すぎる,
向かう,むかう,
渡る,わたる,
越える,こえる,
進める,すすめる,
動く,うごく,
止まる,とまる,
寝る,ねる,
眠る,ねむる,
起きる,おきる,
起こす,おこす,
座る,すわる,
立つ,たつ,
飛ぶ,とぶ,
歌う,うたう,
踊る,おどる,
食べる,たべる,
飲む,のむ,
噛む,かむ,
持つ,もつ,
取る,とる,
押す,おす,
引く,ひく,
入れる,いれる,
出す,だす,
投げる,なげる,
打つ,うつ,
落とす,おとす,
掛ける,かける,
指す,さす,
乗る,のる,
止める,とめる,
壊す,こわす,
作る,つくる,
消す,けす,
失くす,なくす,
拾う,ひろう,
折る,おる,
切る,きる,
付ける,つける,
塗る,ぬる,
向ける,むける,
始める,はじめる,
急ぐ,いそぐ,
守る,まもる,
受ける,うける,
呼ぶ,よぶ,
つく,つく,
見せる,みせる,
立てる,たてる,
空く,すく,
要る,いる,
乾く,かわく,
冷える,ひえる,
倒れる,たおれる,
増える,ふえる,
太る,ふとる,
始まる,はじまる,
終わる,おわる,
決める,きめる,
出来る,できる,
付く,つく,
関する,かんする,
掛かる,かかる,
違う,ちがう,
変わる,かわる,
続く,つづく,
含む,ふくむ,
当たる,あたる,
残る,のこる,
生まれる,うまれる,
関わる,かかわる,
基づく,もとづく,
上がる,あがる,
見る,みる,
聞く,きく,
触る,さわる,
言う,いう,
話す,はなす,
書く,かく,
読む,よむ,
答える,こたえる,
頼む,たのむ,
伝える,つたえる,
申す,もうす,
述べる,のべる,
使う,つかう,
直す,なおす,
捨てる,すてる,
置く,おく,
残す,のこす,
済む,すむ,
用いる,もちいる,
知る,しる,
考える,かんがえる,
覚える,おぼえる,
忘れる,わすれる,
思う,おもう,
感ずる,かんずる,
泣く,なく,
笑う,わらう,
怒る,おこる,
褒める,ほめる,
喜ぶ,よろこぶ,
驚く,おどろく,
分かる,わかる,
願う,ねがう,
楽しむ,たのしむ,
会う,あう,
開ける,あける,
遊ぶ,あそぶ,
与える,あたえる,
集まる,あつまる,
植える,うえる,
帰る,かえる,
着る,きる,
脱ぐ,ぬぐ,
閉める,しめる,
疲れる,つかれる,
出かける,でかける,
働く,はたらく,
休む,やすむ,
待つ,まつ,
分かれる,わかれる,
買う,かう,
売る,うる,
貸す,かす,
借りる,かりる,
もらう,もらう,
盗む,ぬすむ,
行う,おこなう,
得る,える,
教える,おしえる,
続ける,つづける,
示す,しめす,
求める,もとめる,
従う,したがう,
認める,みとめる,
開く,ひらく,
呉れる,くれる,
上げる,あげる,
選ぶ,えらぶ,
合わせる,あわせる,
加える,くわえる,
比べる,くらべる,
描く,えがく,
頑張る,がんばる,
調べる,しらべる,
探す,さがす,
連れる,つれる,
仕舞う,しまう,
もう,もう,
まだ,まだ,
ずっと,ずっと,
とても,とても,
こう,こう,
そう,そう,
ああ,ああ,
どう,どう,
きっと,きっと,
よく,よく,
少し,すこし,
矢張り,やはり,
一寸,ちょっと,
又,また,
